date,ABI.BR,AD.AS,ADS.DE,ADYEN.AS,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CS.PA,DB1.DE,DG.PA,DHL.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,IBE.MC,IFX.DE,INGA.AS,ISP.MI,ITX.MC,KER.PA,MBG.DE,MUV2.DE,NDA-FI.HE,NOKIA.HE,OR.PA,PRX.AS,RACE.MI,RI.PA,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,STLAM.MI,SU.PA,TTE.PA,UCG.MI,VOW3.DE,^STOXX50E
2025-01-31,46.0778,31.9337,247.9195,1570.0000,147.4018,160.4806,288.1391,712.3360,42.4288,21.4749,10.1054,70.4317,63.3830,57.9959,32.8219,230.9881,97.4732,31.7628,30.4416,255.4758,6.3194,12.3423,12.8558,31.5222,14.3961,3.7852,50.0645,244.2340,50.6698,482.0159,9.7726,4.3312,345.3352,36.8597,408.7234,100.6080,2668.7844,234.5884,4.7604,94.7010,261.6541,85.9739,198.4875,11.8989,237.3078,51.8576,41.1165,86.7524,5286.8701
2025-02-03,45.7880,31.8963,246.5578,1552.4000,146.7024,159.9621,285.8479,699.7195,40.8130,20.8497,9.8265,68.7471,62.4813,56.7605,32.5711,232.4415,97.1468,31.2884,30.6204,253.8412,6.3351,12.2792,12.7899,30.7355,14.1631,3.7658,49.1339,235.0794,49.1992,479.0633,9.6661,4.3653,340.8559,36.8896,407.4480,98.5538,2664.8655,234.3928,4.6430,94.7554,256.4405,82.5190,193.3686,11.3610,229.9569,51.4714,40.8203,83.1993,5217.9102
2025-02-04,45.4788,32.6348,246.6551,1599.6000,147.1220,159.4243,286.7644,702.1837,41.0815,21.0581,10.0597,69.1414,61.4480,59.1696,33.1891,232.8290,98.5459,31.3614,30.4416,258.3604,6.3636,12.4180,12.9030,33.9217,14.3835,3.8385,49.7036,238.9340,49.3110,483.3077,9.6151,4.3341,337.7734,37.8165,440.2165,96.9105,2661.9263,234.6862,4.7839,93.1408,260.4846,82.8987,193.1294,11.5758,230.9725,52.4370,41.2923,83.2521,5264.5898
2025-02-05,45.3725,32.6909,245.3907,1601.0000,146.5625,160.2694,286.9477,695.9741,41.0406,20.8795,10.0871,68.3887,61.6923,58.5960,33.0906,233.7011,98.3127,31.3431,30.7333,260.6680,6.3958,12.3819,12.9831,34.9100,14.3083,3.8123,49.5327,235.4649,48.7176,483.8613,9.5853,4.4013,332.9089,37.5773,435.4091,93.3956,2667.8047,235.9574,5.1805,93.9753,263.8954,83.3542,192.5553,11.5207,224.7823,53.3474,41.3062,82.1263,5271.1201
2025-02-06,46.9667,32.7377,252.3935,1585.4000,148.9055,161.2296,290.4303,705.0421,44.0127,21.0581,10.6404,69.5536,62.1995,60.2374,33.4756,233.4104,100.0383,32.3103,31.0720,260.2834,6.3406,12.4432,12.8134,36.6899,14.2670,3.9260,50.0835,242.7403,49.4658,482.3850,9.8577,4.4368,340.1335,38.3647,438.7449,96.4083,2703.0750,235.6640,5.3972,94.0841,266.6728,88.4986,199.0615,11.6345,231.6496,53.8992,42.7687,84.3427,5356.6299
2025-02-07,47.2469,32.8592,246.6551,1553.2000,147.8564,160.2886,291.8050,692.9185,43.2571,20.7852,10.6542,68.4424,62.8382,61.2875,33.6368,233.1197,102.4635,31.7537,30.9685,259.5142,6.3424,12.4882,12.7286,36.2916,14.3101,3.9274,50.0075,232.8149,48.9154,484.5995,9.8619,4.4747,328.0925,38.7535,426.7755,91.8892,2651.1494,238.2065,5.3004,93.7576,264.0903,88.8214,198.4875,11.5042,229.3282,54.1475,43.5277,82.4254,5325.3999
2025-02-10,47.1310,33.0088,250.2538,1544.2000,148.4334,160.7879,293.2714,708.2490,43.0705,20.8597,10.5215,69.0338,62.5940,61.3228,33.7980,233.4104,100.9244,31.7537,31.4108,261.8218,6.3673,12.5098,12.7899,36.0065,14.1900,3.9193,50.5773,235.3203,49.4916,487.1830,9.8790,4.5069,329.8746,39.9047,435.5073,90.7663,2694.2573,240.3577,5.2591,94.1567,264.8699,88.8214,202.0276,11.5923,234.3094,53.9084,43.7129,82.9531,5358.2998
2025-02-11,47.1406,33.3546,247.7250,1551.0000,149.1853,160.5766,293.4547,714.7686,42.7474,20.5719,10.7044,68.2991,62.5564,61.8876,34.0309,234.1855,99.6186,32.3651,31.8342,266.3410,6.3204,12.6684,12.5731,36.1343,14.3620,3.9919,50.8242,238.4040,49.1734,485.5222,10.0322,4.4925,328.8150,39.6655,450.3218,89.2690,2693.2778,239.5755,5.4241,94.0116,271.2529,90.1312,205.6156,11.6235,236.1471,54.1291,43.3935,82.0912,5390.9102
2025-02-12,48.4837,31.4382,252.7826,1578.2000,149.3427,163.1310,296.1124,709.6320,43.9580,20.8200,10.9377,68.3170,63.1200,62.6024,34.0578,237.5767,99.8518,32.3012,32.1071,265.3795,6.2615,12.6360,12.5542,36.4391,14.4839,3.9901,51.4509,255.1231,49.8786,486.9984,10.0279,4.5703,321.6867,40.2436,453.2650,89.3421,2701.1155,240.9444,5.5305,94.7917,272.0325,90.2641,202.8887,11.6345,230.9241,54.2670,43.1066,82.4430,5405.6499
2025-02-13,49.1793,32.3076,255.8949,1805.0000,151.3185,163.2270,302.7110,728.8940,46.2884,21.4551,10.9331,72.4569,62.8006,61.8611,34.0309,241.0648,100.7379,33.7338,31.6084,284.4176,6.3572,12.6053,12.6720,37.0292,14.5036,3.9527,51.5269,265.1931,52.5703,489.7665,10.1003,4.5895,329.6819,40.9613,465.8230,90.3646,2758.9197,240.3577,5.4864,95.5718,273.1532,91.8586,217.6234,12.1633,236.7758,53.9820,42.7039,87.7551,5500.5000
2025-02-14,49.0247,31.9524,251.7127,1840.0000,152.2102,161.8250,295.2876,723.2635,46.3521,21.2119,11.0200,74.3386,63.0824,61.7287,33.6100,237.0922,101.0643,33.4144,31.6366,283.1676,6.3259,12.6468,12.6296,36.9259,14.6954,3.9698,51.6029,269.8186,52.7337,479.4323,10.0875,4.5847,330.7415,42.8850,470.6304,90.1820,2781.4534,240.5533,5.5545,94.0660,269.8886,91.7637,220.5120,12.3230,238.4685,54.1475,43.3750,88.1244,5493.3999
2025-02-17,49.0054,32.0646,252.6853,1841.2000,152.1228,163.7263,300.0533,718.9172,46.3066,21.2318,11.1526,75.3422,63.8902,61.6229,33.6637,237.5767,101.8572,33.6334,32.0319,282.7830,6.2872,12.6810,12.5966,37.2898,14.6847,4.0344,52.3056,269.9149,52.8885,491.6119,10.3259,4.6039,330.4044,44.3502,478.6754,91.0402,2755.4585,246.5182,5.5718,94.3744,272.9583,92.5990,222.2745,12.3304,237.8881,54.1659,44.0692,88.3003,5519.8301
2025-02-18,49.1213,31.8028,248.2113,1846.0000,152.4376,166.1270,301.4280,707.4589,45.7513,21.4749,11.3858,75.5573,63.6648,62.7348,33.6100,240.6772,102.6967,33.7246,32.4365,283.2637,6.2716,12.6972,12.5872,37.1865,14.9768,4.1102,52.7804,264.3740,53.4991,496.0408,10.4195,4.6039,329.2484,44.8735,472.0039,89.4699,2752.5156,245.7360,5.7166,94.0479,271.2529,93.0166,221.4912,12.4460,242.5308,54.3406,44.8005,88.2124,5533.8398
2025-02-19,48.7928,31.6252,243.8345,1835.8000,150.7240,162.2091,293.2714,708.7430,43.7760,21.1375,11.0885,73.8368,63.7587,62.0376,32.9294,240.4834,101.2043,33.1863,32.3142,282.5907,6.2790,12.6612,12.6532,37.4274,14.7187,4.0723,50.9951,260.4231,52.6133,477.2179,10.3089,4.5324,321.6867,44.1608,470.2379,88.8673,2671.0977,246.4205,5.5670,93.5036,269.2552,89.2959,215.7630,12.2386,239.0972,53.9912,44.3469,85.7146,5461.1699
2025-02-20,48.9088,31.3261,240.0413,1804.8000,151.0562,158.5217,292.8131,701.2357,43.6485,21.5097,11.1297,73.9264,64.0593,62.5406,32.9921,239.6114,100.9244,33.3597,32.2295,281.2445,6.2514,12.6630,12.6626,38.0175,14.7331,4.0524,51.1281,260.4231,51.2804,475.1880,10.3727,4.5972,325.4916,44.9433,473.7699,88.5569,2679.9260,242.4112,5.5804,93.9572,267.9396,89.6376,216.6442,12.2404,246.2546,54.0923,44.2358,85.5915,5461.0298
