ticker,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,currentRatio,debtToEquity,earningsGrowth,salesGrowth,marketCap,trailingPE,priceToBook,priceToSalesTrailing12Months,enterpriseValue,enterpriseToEbitda,dividendYield,forwardPE,beta,sector
NDA-FI.HE,0.15596867677888765,0.008115760682115327,0.42021762604867513,,,,608.3086693797017,0.025334414268342043,0.025730595552526214,43550326000.0,8.62861111111111,1.3426540263904305,3.6174371625550297,190224326000.0,,0.0738915249451864,,,Financial Services
NOKIA.HE,0.061819238030691774,0.032618968556029526,0.06644120707596254,0.08272632674297607,0.46118626430801246,1.578637879585747,22.994626518855593,0.9203007518796993,-0.09073706121676606,21049475018.0,16.547826086956523,1.0189996135934551,1.0951860050988553,19176475018.0,5.589179544739143,0.03434764997140034,,,Technology
OR.PA,0.19342172376430963,0.11372339557151831,0.14737115630490172,0.19977326453084615,0.7418297046460075,1.1255465974309922,25.638858791608442,0.036335705045278166,0.05595337825532698,211430351735.4189,33.004343096234315,6.381204158216021,4.861943204269316,215873051735.4189,20.227036939369306,0.017097356033932334,,,Consumer Defensive
PRX.AS,0.16010664081434803,0.1068568932886883,1.208340954819828,-0.03036400219498811,0.40643863179074446,4.773760554232518,39.35530780416869,-0.3467167721518988,0.10511421063270676,137090288563.617,20.9001581027668,3.3225954571889726,25.075962788296508,151153288563.617,19.508684636501936,0.0014515980824393237,,,Consumer Cyclical
RACE.MI,0.4306452334019818,0.16024572013529118,0.22793959501955166,0.2815035883168071,0.5013256612430033,1.7767763062655229,94.84830837822649,0.21551010823866168,0.1183424994966622,72770135628.0,47.78918439716311,20.591750872254412,10.899169410250742,74379809628.0,28.65404966894433,0.0060453096067988,,,Consumer Cyclical
RI.PA,0.09372023620547336,0.037667474799030244,0.1272633212622866,0.2680634592171064,0.6013967925504398,1.8589973760530314,86.46898215759731,-0.3474801061007957,-0.04440965642250971,22530670425.6546,15.263773584905659,1.4306095895393103,1.9426341115411794,33465670425.654602,10.497387210054768,0.05361580357699912,,,Consumer Defensive
RMS.PA,0.26565475846944075,0.19940218333044532,0.3034278180619644,0.41081081081081083,0.702636783124588,4.2645356847616425,12.546892133664223,0.06773370447691951,0.12981306323080366,212339936851.8768,46.12739685434238,12.254858709059665,13.997359054177773,202871936851.8768,27.658069100460366,0.01273900727345013,,,Consumer Cyclical
SAF.PA,-0.06554638364779874,-0.012124627354031848,-0.02406552172030596,0.143960167412325,0.4788208976764324,0.84196047008547,49.70518867924528,-1.193670150987224,0.17187433935140173,116243692883.31151,-172.6846875,11.423318876111587,4.19410062358607,114787692883.31151,169.8042794131827,0.007836984333545613,,,Industrials
SAN.MC,0.1275240616220931,0.0068445539418240135,0.20850675731697205,,,,332.3728968266042,0.13524738172625494,0.063824157214176,125868112271.88281,10.527604166666666,1.2765399161457065,2.0871919786399604,235699112271.8828,,0.023969534026879624,,,Financial Services
SAN.PA,0.07173545615234753,0.04186810042319915,0.12554757711240572,0.20148579686582668,0.7018245043580364,1.4603936629860779,23.102429457984442,0.029629629629629672,0.06410687683214,93780041140.0,16.32681917211329,1.2099557606409743,2.1176001702569662,104245041140.0,9.487171563523844,0.05015992681190671,,,Healthcare
SAP.DE,0.06875302610150094,0.042081441868609994,0.09140917602996254,0.22846441947565543,0.7295177902621723,1.1215281417042238,23.440732426603283,-0.49112233262746374,0.09513891114173112,267392720000.00003,85.51094339622642,5.884781900611823,7.823991104868915,268434720000.0,40.73982698436789,0.009592632140471138,,,Technology
SGO.PA,0.11314899542470658,0.046080559966298326,0.061068046638465996,0.10725558824160958,0.2766313800433746,1.345002108814846,70.97274716530734,0.06556762832521534,-0.0286375771733689,45480450979.238396,16.001914893617023,1.8094470252332764,0.9765830877421227,54859450979.238396,7.321426795574322,0.022976904966862298,,,Industrials
SIE.DE,0.16192649812734083,0.056159175168457226,0.10932437771631766,0.12508889766890557,0.3927696562623469,1.3971489080682258,93.4749531835206,0.0442822996603347,0.01399535268822949,180433754377.5,21.75804431599229,3.519697143755852,2.3763170601540895,219196754377.5,13.555767122912801,0.02055602075562925,,,Industrials
STLAM.MI,0.066995544239338,0.026362309556036165,0.03488698224097706,0.03464475579749869,0.13078953071813765,1.0850158274146782,45.5699456495128,-0.7056893955689396,-0.17233993162537453,22681700040.0,4.142391304347826,0.2776489746854037,0.14458177717716952,25808700040.0,2.019302092168062,0.2050551762785767,,,Consumer Cyclical
SU.PA,0.1400177113057168,0.06473772803785087,0.11189159437003643,0.17220139962781433,0.42638848845438104,1.226020747100005,48.64377316409197,0.06645016237821633,0.06269845691047848,124909096823.53601,29.259567333025846,4.096857778987045,3.273899741135324,132853096823.53601,16.448322003656806,0.015715428659076828,,,Industrials
TTE.PA,0.13370327003682397,0.05519690914122184,0.08055825366801288,0.12322989622207453,0.28389141659424366,1.0978967712596635,43.479441361638585,-0.2630939019827909,-0.10657927790084265,114882366357.7304,7.34490284005979,0.9747523830179572,0.5873031356154103,140282366357.7304,3.3181722061104244,0.06717305923147644,,,Energy
UCG.MI,0.15565093448215114,0.012396620425405992,0.36566462244629216,,,,196.54393747697827,0.022299358367518618,0.048067823343848515,102774897770.03601,10.850320013838438,1.6459521431437036,3.8667706749703155,171181897770.036,,0.048163511785493315,,,Financial Services
VOW3.DE,0.0622675458325562,0.017934761141087524,0.03496326870062066,0.0667292972540081,0.18318214720241488,1.1298937057395215,107.80387725322831,-0.3133922090491169,0.007356865373397303,48216032151.6027,4.5029447565543075,0.2644959908258237,0.14851467604565677,204440032151.6027,3.9620929117153953,0.11985639925387154,,,Consumer Cyclical
