asof_date,ticker,marketCap,sharesOutstanding,enterpriseValue,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,dividendYield,returnOnEquity,returnOnAssets,profitMargins,grossMargins,operatingMargins,debtToEquity,currentRatio,revenueGrowth,earningsGrowth,beta,sector,industry,currency,country,salesGrowth
2026-06-09,BNP.PA,102878486528,1100099307,,8.810377,7.25397,0.7896339,2.096096,,10.68,0.09575,0.00456,0.2545,0.0,0.35636002,,,0.093,0.12,1.051,Financial Services,Banks - Regional,EUR,France,0.0445422802489752
2026-06-09,CS.PA,81714757632,2034223504,78872281088.0,11.745613,9.025019,1.7503266,0.86296225,6.588,5.84,0.13415,0.0101,0.10346,0.14503999,0.10537,113.518,1.928,0.032,0.598,0.605,Financial Services,Insurance - Diversified,EUR,France,0.0257887703124091
2026-06-09,DB1.DE,44743426048,182105935,49411100672.0,21.878897,18.444756,4.266958,5.934929,15.185,1.72,0.19205,0.0065499996,0.27258,0.81231004,0.43556,65.438,1.011,0.085,0.122,0.28,Financial Services,Financial Data & Stock Exchanges,EUR,Germany,0.0509753666524277
2026-06-09,DG.PA,67624697856,550914048,94091960320.0,14.190752,12.104639,2.219189,0.8933013,7.603,4.04,0.15433,0.04315,0.064770006,0.17764,0.13137001,118.763,0.853,0.052,0.068,0.751,Industrials,Engineering & Construction,EUR,France,0.0403199208443272
2026-06-09,DHL.DE,57909649408,1119243239,79454953472.0,16.744337,14.072478,2.4666286,0.697337,10.153,3.67,0.15564999,0.047,0.04247,0.17523001,0.072280005,121.823,1.095,-0.019,0.072,1.127,Industrials,Integrated Freight & Logistics,EUR,Germany,-0.0158336104908063
2026-06-09,DTE.DE,134400270336,4838022420,302999404544.0,15.348067,11.135161,2.1201253,1.1021295,7.22,3.62,0.14428,0.053260002,0.07222,0.44491002,0.21365999,161.874,1.18,0.004,-0.272,0.293,Communication Services,Telecom Services,EUR,Germany,0.0280772471788099
2026-06-09,EL.PA,82700042240,460211714,91659403264.0,36.012024,21.371687,2.1403303,2.9026725,16.456,2.31,0.060700003,0.03387,0.08125,0.59738,0.10196,36.457,0.988,0.094,-0.077,0.534,Healthcare,Medical Instruments & Supplies,EUR,France,0.0748076052512449
2026-06-09,ENEL.MI,96265584640,9923263654,179783172096.0,25.528948,12.951763,3.980714,1.2356316,8.857,5.43,0.10637999,0.04715,0.052360002,0.38531,0.19259001,139.941,0.809,-0.067,-0.053,0.904,Utilities,Utilities - Diversified,EUR,Italy,-0.0452518790074877
2026-06-09,ENI.MI,67855290368,2934282723,94997684224.0,23.125,9.927748,1.3846476,0.8032208,7.898,4.55,0.059109997,0.02246,0.029679999,0.20799999,0.042919997,67.357,1.16,-0.126,0.01,0.225,Energy,Oil & Gas Integrated,EUR,Italy,-0.0748448708852776
2026-06-09,IBE.MC,134785228800,6757845603,201727819776.0,24.93125,18.613224,2.712867,3.0977492,14.472,3.44,0.09969,0.03601,0.13771,0.53907,0.21564,94.885,0.822,-0.045,-0.186,0.584,Utilities,Utilities - Diversified,EUR,Spain,0.0253093886666047
2026-06-09,IFX.DE,98320146432,1299499659,104461148160.0,92.268295,29.273958,5.854225,6.501365,26.005,0.45,0.0631,0.04901,0.072340004,0.41162,0.46667,47.645,1.591,,,1.978,Technology,Semiconductors,EUR,Germany,-0.0195921096623202
2026-06-09,INGA.AS,72094711808,2867729153,197271715840.0,11.479451,8.940764,1.4215437,2.9290123,,4.28,0.16565001,0.00784,0.34228,0.0,0.41676,,,0.029,0.137,0.902,Financial Services,Banks - Diversified,EUR,Netherlands,0.0154739735745321
2026-06-09,ISP.MI,98402811904,17428766031,208081141760.0,10.455555,9.109684,1.4308159,3.8280094,,6.79,0.14007,0.00997,0.36828,0.0,0.67370003,,,0.06,0.067,0.843,Financial Services,Banks - Regional,EUR,Italy,0.0304486021816079
2026-06-09,ITX.MC,173492518912,3114766768,168811626496.0,27.85,23.369976,9.141638,4.3007565,17.745,1.19,0.33955002,0.14310001,0.15592,0.56477,0.20069,31.815,1.291,0.058,0.053,0.914,Consumer Cyclical,Apparel Retail,EUR,Spain,0.0318984776172526
2026-06-09,KER.PA,31292356608,122618951,46352711680.0,,25.73582,2.12789,2.132358,18.228,1.2,0.0025,0.02412,0.00491,0.72641,0.111140005,119.652,1.336,,,0.976,Consumer Cyclical,Luxury Goods,EUR,France,-0.1303188337086642
